latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.98193,-87.01303,302.8,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.71,0.51,N
38.99892,-87.72469,309.18,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,294.29,0.97,N
38.99557,-87.72546,302.5,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,291.05,0.97,N
38.99158,-87.72166,313.28,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,289.84,1.34,N
38.58727,-85.25394,303.76,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.64,0.35,N
38.7409,-86.4557,309.09,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.16,0.83,N
37.45922,-79.99566,301.55,0.39,0.44,2026-08-30,0741,N20,nominal,2.0NRT,289.99,0.82,N
38.65475,-86.7621,299.87,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,289.5,0.48,N
37.2758,-79.99734,311.16,0.39,0.44,2026-08-30,0741,N20,nominal,2.0NRT,290.82,1.33,N
38.32537,-86.04295,298.11,0.38,0.36,2026-08-30,0741,N20,nominal,2.0NRT,287.55,0.3,N
38.84018,-90.06635,304.21,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,293.39,2.23,N
38.8359,-90.06172,305.09,0.47,0.39,2026-08-30,0741,N20,nominal,2.0NRT,293.65,1.87,N
38.76376,-90.01594,313.24,0.46,0.39,2026-08-30,0741,N20,nominal,2.0NRT,290.04,0.71,N
37.60529,-82.73326,307.26,0.45,0.39,2026-08-30,0741,N20,nominal,2.0NRT,290.79,0.49,N
37.63624,-83.17272,327.79,0.43,0.38,2026-08-30,0741,N20,nominal,2.0NRT,291.24,2.31,N
38.73888,-90.46091,302.83,0.48,0.4,2026-08-30,0741,N20,nominal,2.0NRT,288.45,0.71,N
38.69547,-90.1287,333.59,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,292.58,3.74,N
